artificial_bed_id,code,element_ID,system_ID,element_general_type,sys_gs_category,period,climate,underlying_ft,overlying_ft
1,S-N-m,50,1,levee,sandy system,Quaternary,icehouse,M,M
2,S-N-m,50,1,levee,sandy system,Quaternary,icehouse,M,M
3,S-N-m,67,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
4,S-N-x,67,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
5,S-N-x,67,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
6,S-F-x,52,1,channel,sandy system,Quaternary,icehouse,unknown,M
7,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
8,S-F-x,52,1,channel,sandy system,Quaternary,icehouse,M,M
9,S-N-m,50,1,levee,sandy system,Quaternary,icehouse,M,M
10,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,M,M
11,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,M,S
12,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,S,M
13,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,M,M
14,S-N-x,52,1,channel,sandy system,Quaternary,icehouse,M,M
15,S-F-m,52,1,channel,sandy system,Quaternary,icehouse,M,M
16,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,M,M
17,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
18,S-N-x,52,1,channel,sandy system,Quaternary,icehouse,M,M
19,S-N-x,52,1,channel,sandy system,Quaternary,icehouse,M,S
20,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,S,S
21,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,S,S
22,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,S,S
23,S-N-x,52,1,channel,sandy system,Quaternary,icehouse,S,S
24,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,S,M
25,S-N-m,54,1,levee,sandy system,Quaternary,icehouse,M,M
26,S-N-m,54,1,levee,sandy system,Quaternary,icehouse,M,M
27,S-N-m,54,1,levee,sandy system,Quaternary,icehouse,M,M
