element_ID,element_interpret,element_general_type,element_thickness_type
2,lobe complex,terminal deposit,true (maximum)
3,lobe complex,terminal deposit,true (maximum)
42,gully,channel,true (maximum)
50,levee,levee,NA
52,channel,channel,true (maximum)
54,levee,levee,true (maximum)
67,lobe element,terminal deposit,true (maximum)
68,lobe element,terminal deposit,true (maximum)
76,composite lobe,terminal deposit,true (maximum)
273,inner bend levee mudstone unit,levee,NA
279,amalgamated channel fill,channel,NA
280,non-amalgamated channel fill,channel,true (maximum)
282,lenticular channel fill with structureless sandstones,channel,NA
283,amalgamated channel fill,channel,NA
284,amalgamated channel fill,channel,NA
286,amalgamated channel fill,channel,NA
287,amalgamated channel fill,channel,NA
424,channel complex,channel,partial observed
428,channel story set,channel,NA
429,channel story set,channel,true (maximum)
430,channel story set,channel,true (maximum)
432,channel story set,channel,true (maximum)
433,channel story set,channel,true (maximum)
449,channel story,channel,true (maximum)
450,channel story,channel,true (maximum)
451,channel story,channel,true (maximum)
454,channel story,channel,true (maximum)
460,channel story,channel,true (maximum)
682,part of outer levee,levee,true (maximum)
684,part of outer levee,levee,true (maximum)
746,Distributary channel,channel,NA
1228,lobe-element,terminal deposit,true (maximum)
1229,lobe-element,terminal deposit,true (maximum)
1230,lobe-element,terminal deposit,true (maximum)
1231,lobe-element,terminal deposit,true (maximum)
1232,lobe-element,terminal deposit,partial observed
1233,lobe-element,terminal deposit,true (maximum)
1234,lobe-element,terminal deposit,true (maximum)
1235,lobe-element,terminal deposit,true (maximum)
1236,lobe-element,terminal deposit,true (maximum)
1238,lobe-element,terminal deposit,partial observed
1239,lobe-element,terminal deposit,true (maximum)
1240,lobe-element,terminal deposit,true (maximum)
1241,lobe-element,terminal deposit,true (maximum)
1242,lobe-element,terminal deposit,partial observed
1271,storey  ,channel,true (not maximum)
1273,storey  ,channel,true (not maximum)
1274,storey  ,channel,true (not maximum)
1277,storey  ,channel,true (maximum)
1280,storey  ,channel,true (maximum)
1281,storey  ,channel,true (maximum)
1282,storey  ,channel,true (maximum)
1285,storey  ,channel,true (maximum)
1291,storey  ,channel,true (maximum)
1294,storey  ,channel,true (maximum)
1296,storey  ,channel,true (maximum)
1297,storey  ,channel,true (maximum)
1298,undifferentiated fill,channel,true (maximum)
1299,storey,channel,true (not maximum)
1303,channel complex,channel,partial observed
1307,channel complex ,channel,true (maximum)
1310,channel complex ,channel,partial observed
1311,channel complex ,channel,partial observed
1324,channel,channel,true (maximum)
1325,channel,channel,true (maximum)
1326,channel ,channel,true (not maximum)
1328,channel ,channel,true (not maximum)
1329,channel ,channel,true (not maximum)
1334,channel complex,channel,partial observed
1339,channel,channel,true (maximum)
1341,channel complex,channel,partial eroded
1358,channel,channel,partial eroded
1359,channel,channel,partial eroded
1360,channel,channel,unlimited eroded
1390,channel,channel,NA
1391,channel,channel,NA
1392,channel,channel,NA
1393,channel,channel,NA
1397,lobe,terminal deposit,NA
1398,lobe,terminal deposit,NA
1399,lobe,terminal deposit,NA
1400,lobe,terminal deposit,NA
3228,NA,terminal deposit,apparent
3231,turbidite lobe,terminal deposit,apparent
3233,turbidite lobe,terminal deposit,apparent
3281,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3282,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3283,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3284,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3285,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3286,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3288,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3290,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3292,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
3293,"bipartite facies and associated strata/""""mouth-bar deposits""""",terminal deposit,apparent
