facies_type,element_ID,element_general_type,system_ID,sys_name,period,era,climate,sys_gs_category,stacked_thickness
M,53,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,2.41
M,53,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,2.79
M,50,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,50,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,50,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,2.38
M,67,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.31
M,67,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.4
M,67,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.54
M,67,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,1.49
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.111
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.019
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.218
M,50,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,50,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.34
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.25
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.64
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.82
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.79
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.025
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.58
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,2.23
M,54,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.52
M,54,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.59
M,54,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.15
M,54,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.3
M,54,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,1.32
M,54,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,1.25
M,54,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,3.08
M,54,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,6.575
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.13
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,52,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.75
M,50,levee,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,7.3
M,42,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,1.08
M,42,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.75
M,42,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.42
M,42,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,1.4
M,42,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.2
M,42,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.08
M,42,channel,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,2.85
M,68,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,4.17
M,68,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,68,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,68,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,68,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,2.92
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.525
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.05
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.18
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.025
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.13
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.45
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,4.095
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,4.125
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.1
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.6
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.5
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.31
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.15
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.7
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,2.83
M,3,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.45
M,3,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,3,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.296
M,3,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.175
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,1.8
M,2,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,1.99
M,68,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,2.4
M,76,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,76,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,76,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,76,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,6
M,76,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,1.9
M,76,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.9
M,76,terminal deposit,1,Golo Turbidite System,Quaternary,Cenozoic,icehouse,sandy system,0.44
