log_ID,element_ID,sys_gs_category,climate,element_general_type,log_trend_value,log_trend_margin,log_trend
4,67,sandy system,icehouse,terminal deposit,-0.033333333,thinning,thinning
5,52,sandy system,icehouse,channel,-0.331683168,thinning,thinning
12,52,sandy system,icehouse,channel,-0.030131827,thinning,thinning
13,54,sandy system,icehouse,levee,0,no trend,no trend
15,52,sandy system,icehouse,channel,-0.064846416,thinning,thinning
21,68,sandy system,icehouse,terminal deposit,-0.056497175,thinning,thinning
22,2,sandy system,icehouse,terminal deposit,-0.024390244,no trend,thinning
24,2,sandy system,icehouse,terminal deposit,-0.216432866,thinning,thinning
26,3,sandy system,icehouse,terminal deposit,0.23255814,thickening,thickening
32,76,sandy system,icehouse,terminal deposit,-0.076923077,thinning,thinning
33,280,gravelly-sand system,uncertain,channel,0.019011407,no trend,thickening
34,280,gravelly-sand system,uncertain,channel,-0.008287293,no trend,thinning
53,451,sandy system,icehouse,channel,-0.115906928,thinning,thinning
53,432,sandy system,icehouse,channel,-0.245989305,thinning,thinning
54,430,sandy system,icehouse,channel,0.244863014,thickening,thickening
55,430,sandy system,icehouse,channel,-0.33427762,thinning,thinning
55,432,sandy system,icehouse,channel,-0.086330935,thinning,thinning
55,433,sandy system,icehouse,channel,-0.028938907,no trend,thinning
56,432,sandy system,icehouse,channel,-0.038997214,thinning,thinning
86,1228,sandy system,icehouse,terminal deposit,0.377934272,thickening,thickening
86,1229,sandy system,icehouse,terminal deposit,-0.047473201,thinning,thinning
86,1230,sandy system,icehouse,terminal deposit,0.010362694,no trend,thickening
86,1231,sandy system,icehouse,terminal deposit,-0.190763052,thinning,thinning
87,1233,sandy system,icehouse,terminal deposit,-0.043545879,thinning,thinning
87,1234,sandy system,icehouse,terminal deposit,-0.18336163,thinning,thinning
87,1235,sandy system,icehouse,terminal deposit,0.07568113,thickening,thickening
87,1236,sandy system,icehouse,terminal deposit,0.005145798,no trend,thickening
88,1239,sandy system,icehouse,terminal deposit,0.103068634,thickening,thickening
88,1240,sandy system,icehouse,terminal deposit,0.056570931,thickening,thickening
88,1241,sandy system,icehouse,terminal deposit,-0.046920821,thinning,thinning
89,1280,gravelly system,greenhouse,channel,-0.162790698,thinning,thinning
89,1281,gravelly system,greenhouse,channel,0.008287293,no trend,thickening
90,1298,gravelly system,greenhouse,channel,-0.021505376,no trend,thinning
90,1297,gravelly system,greenhouse,channel,0.557768924,thickening,thickening
91,1285,gravelly system,greenhouse,channel,-0.168582375,thinning,thinning
96,1307,gravelly-sand system,greenhouse,channel,-0.116760829,thinning,thinning
96,1339,gravelly-sand system,greenhouse,channel,0.123364486,thickening,thickening
1016,10122,gravelly-sand system,greenhouse,channel,0.121850015,thickening,thickening
1016,10124,gravelly-sand system,greenhouse,channel,-0.165381276,thinning,thinning
1016,10125,gravelly-sand system,greenhouse,channel,-0.222124825,thinning,thinning
1017,10125,gravelly-sand system,greenhouse,channel,-0.135073581,thinning,thinning
1017,10126,gravelly-sand system,greenhouse,channel,0.263908368,thickening,thickening
1021,10036,gravelly-sand system,greenhouse,levee,-0.000167196,no trend,thinning
1024,10036,gravelly-sand system,greenhouse,levee,-0.054699155,thinning,thinning
1025,10036,gravelly-sand system,greenhouse,levee,0.073825503,thickening,thickening
